Cluny-La Sorbonne,Maubert-Mutualité,0.3091754278456508
Maubert-Mutualité,Cardinal-Lemoine,0.37838590164784347
Cardinal-Lemoine,Jussieu,0.25750091465280134
Jussieu,Gare d'Austerlitz,0.7220878675554753
Mairie des Lilas,Porte des Lilas,0.7376419597133297
Porte des Lilas,Télégraphe,0.6048239711523583
Télégraphe,Place des Fêtes,0.42612037431691385
Place des Fêtes,Jourdain,0.3240692661136471
Jourdain,Pyrénées,0.36160047368542725
Pyrénées,Belleville,0.630443865873929
Belleville,Goncourt (Hôpital Saint-Louis),0.48733185900452985
Goncourt (Hôpital Saint-Louis),République,0.6429587110603215
République,Arts-et-Métiers,0.5801680706724258
Arts-et-Métiers,Rambuteau,0.4965552477980269
Rambuteau,Hôtel de Ville,0.39969835280749616
Hôtel de Ville,Châtelet,0.29425053639690285
Mairie d'Issy,Corentin-Celton,0.4822437945390402
Corentin-Celton,Porte de Versailles,0.8875725621740229
Porte de Versailles,Convention,0.8275090061365737
Convention,Vaugirard (Adolphe Chérioux),0.4277111413711574
Vaugirard (Adolphe Chérioux),Volontaires,0.5518613313478392
Volontaires,Pasteur,0.3760611366885223
Pasteur,Falguière,0.39520888798787024
Falguière,Montparnasse-Bienvenue,0.4406527041988175
Montparnasse-Bienvenue,Notre-Dame des Champs,0.3664586757969052
Notre-Dame des Champs,Rennes,0.3809946562600189
Rennes,Sèvres-Babylone,0.3847358991242119
Sèvres-Babylone,Rue du Bac,0.4874395272559489
Rue du Bac,Solférino,0.3505931201027592
Solférino,Assemblée Nationale,0.3831385939007531
Assemblée Nationale,Concorde,0.4558882265427892
Concorde,Madeleine,0.532867280374773
Madeleine,Saint-Lazare,0.6438670696102025
Saint-Lazare,Trinité-d'Estienne d'Orves,0.38703711729719237
Trinité-d'Estienne d'Orves,Notre-Dame de Lorette,0.4474555529203455
Notre-Dame de Lorette,Saint-Georges,0.28286280252978996
Saint-Georges,Pigalle,0.38435286381036526
Pigalle,Abbesses,0.2776886950037265
Abbesses,Lamarck-Caulaincourt,0.5960990317282181
Lamarck-Caulaincourt,Jules Joffrin,0.4873080959339083
Jules Joffrin,Marcadet-Poissonniers,0.3942271052920663
Marcadet-Poissonniers,Marx-Dormoy,0.7616804247062424
Marx-Dormoy,Porte de la Chapelle,0.8443320096039717
Porte de la Chapelle,Front Populaire,1.062094865678578
